"filename", "language", "CMake", "C++", "C", "Python", "Shell Script", "Markdown", "Makefile", "Rust", "Ruby", "XML", "YAML", "Ini", "Properties", "JSON", "reStructuredText", "pip requirements", "kconfig", "Docker", "Ignore", "Protocol Buffers", "JavaScript", "HTML", "CSS", "toml", "Perl", "comment", "blank", "total"
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 9, 11, 55
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/README.md", "Markdown", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/build.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 41, 653
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/check_changelog.sh", "Shell Script", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 79
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/check_release_commit_messages.sh", "Shell Script", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 34
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/common_sync/common_repo_sync.sh", "Shell Script", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 26
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 327
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/environment.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 40
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/README.md", "Markdown", 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 340
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/bootstrap.py", "Python", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 40
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/device/core.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 31
"/home/saransh/Projects/Cypherrock/trezor-firmware/ci/hardware_tests/device/device.py", "Python", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 77
